complete_machine_sample_number,turbo_maker_oe_no,turbo_maker,turbo_model,vehicle_oem_number,vehicle_brand,vehicle_model,engine,year,complete_turbo_code,gasket_kits,chra,sw,cw,back_plate,thrust_flinger,thrust_bearing,journal_bearing,bearing_housing,actuator,turbine_housing,compressor_housing,nozzle_ring_assembly,repair_kits,query_turbo_maker_oe_no,vehicle_oem_number_LDupper
JR-166,710811-0001,GARRET,GT2256V,55191597,ALFA ROMEO,156/166 JTD 2.4L,841C.000,2001-,,2090-505-101,1000-010-109,1100-016-157,1200-016-043,1300-011-019,1400-016-022,1600-011-008,1700-010-071,1900-011-133,,,,3000-016-014,5000-010-067B,7108110001,55191597
JR-166,710811-0001,GARRET,GT2256V,46769104,ALFA ROMEO,156/166 JTD 2.4L,841C.000,2001-,,2090-505-101,1000-010-109,1100-016-157,1200-016-043,1300-011-019,1400-016-022,1600-011-008,1700-010-071,1900-011-133,,,,3000-016-014,5000-010-067B,7108110001,46769104
JR-305,712766-0001,GARRET,GT1749V,46786078,ALFA ROMEO,"145,146,147,156 JTD 1.9L",M724.19.X,2000-,8G17-300-305,2090-505-179,1000-010-103,1100-030-016,1200-020-021,1300-016-025,1400-016-022,1600-011-008,1700-010-071,1900-011-095,2061-016-305,2100-011-305,2200-011-305,3000-016-017,5000-010-066,7127660001,46786078
JR-305,712766-0001,GARRET,GT1749V,46779032,ALFA ROMEO,"145,146,147,156 JTD 1.9L",M724.19.X,2000-,8G17-300-305,2090-505-179,1000-010-103,1100-030-016,1200-020-021,1300-016-025,1400-016-022,1600-011-008,1700-010-071,1900-011-095,2061-016-305,2100-011-305,2200-011-305,3000-016-017,5000-010-066,7127660001,46779032
JR-313,710812-0001,GARRET,GT2256V,46767677,ALFA ROMEO,166 JTD 2.4L,M722.PT.24,2001-,,,1000-010-109,1100-016-157,1200-016-043,1300-011-019,1400-016-022,1600-011-008,1700-010-071,1900-011-133,,,,,5000-010-067B,7108120001,46767677
JR-507,49178-07200,MITSUBISHI,TD05H-12B-6,60513721,ALFA ROMEO,164 2.5TD,M631AT20C,1991-1998,,,1000-050-115,1100-016-002,1200-016-155,1800-016-014,1400-016-037,1600-016-026,1700-060-009,1900-011-003D,,,,,5000-050-015,4917807200,60513721
JR-583,454150-0004,GARRET,TD2503,46522417,ALFA ROMEO,156 JTD 2.40L,AR32501,1997-2002,,2090-505-345,1000-010-333,1100-020-155,1200-016-351,1800-016-012,1400-016-010,1600-016-090,1700-010-066,1900-011-124,,,,3000-016-020B,5000-010-185,4541500004,46522417
JR-774,454150-0006,GARRET,TD2503,46763886,ALFA ROMEO,156 JTD 2.40L,AR32501,1997-2002,,2090-505-345,1000-010-410,1100-020-155,1200-020-037,1800-016-012,1400-016-010,1600-016-090,1700-010-066,1900-011-124B,,,,,5000-010-185,4541500006,46763886
JR-987,49S31-05212,MITSUBISHI,TD03,0375K7,ALFA ROMEO,Citreon Jumper/PG Boxer 2.2L,4HV (P22DTE),2006-,8M03-200-987,2090-505-516,1000-050-133,1100-016-096,1200-016-272,1800-016-046,1400-016-072,1600-016-123B,1700-060-021,1900-011-212B,2061-016-987,2100-011-987,2200-011-987,,5000-050-028,49S3105212,0375K7
JR-863,773721-0003,GARRET,GT1749V,55211064,ALFA ROMEO,159 JTD 1.9L,M741DT.19Z,2005-,,,1000-010-445,1100-016-161,1200-016-350T,1300-016-062,1400-016-022,1600-011-008,1700-016-005,1900-011-165,2061-016-388,2100-011-388,,3000-016-036,5000-010-067,7737210003,55211064
