jrone_no,marka,model,ccm,snaga,motor,god,model_turbine,oe_1,oe_2,cena,query_jrone_no,query_oe1,query_oe2,ccm_numbers,snaga_numbers
8B03-400-003,AUDI,A4 1.8T Quattro,1.8L P,150HP,AEB/ANB/APU/AWT/AVJ 20v,1999-,K03,058145703J,5303-970-0029,258.13,8B03400003,058145703J,53039700029,1.8,150
8B03-400-003,AUDI,A6 1.8i  Turbo Quattro,1.8L P,150HP,AEB/ANB/APU/AWT 20v,1998-,K03,058145703N,5303-970-0005,258.13,8B03400003,058145703N,53039700005,1.8,150
8B03-400-003,AUDI,A6 1.8i Turbo,1.8L P,150HP,AEB/ANB/APU/AWT 20v,1998-,K03,058145703Q,5303-970-0029,258.13,8B03400003,058145703Q,53039700029,1.8,150
8B03-400-003,AUDI,A4 1.8T,1.8L P,163HP,BFB,2002-,K03,06A145704,5303-988-0029,258.13,8B03400003,06A145704,53039880029,1.8,163
8B03-400-003,AUDI,A4 1.8T,1.8L P,150HP,AEB/ANB/APU/AWT 20v,2006-,K03,058145703C,5303-988-0005,258.13,8B03400003,058145703C,53039880005,1.8,150
8B03-400-003,AUDI,A6 1.8T,1.8L P,150HP,AEB/ANB/APU/AWT 20v,2009-,K03,058145703E,5303-970-0005,258.13,8B03400003,058145703E,53039700005,1.8,150
8B03-400-003,VW,Passat 1.8T,1.8L P,150HP,AEB/ANB/APU/AWT,1999-,K03,06A145704,5303-988-0029,258.13,8B03400003,06A145704,53039880029,1.8,150
8B35-200-026,CITROEN,C1 HDi,1.4LD,50HP,DV4TD,2002-2010,KP35,2S6Q6K682AA,5435-970-0001,241.65,8B35200026,2S6Q6K682AA,54359700001,1.4,50
8B35-200-026,CITROEN,C2 HDi,1.4LD,50HP,DV4TD,2002-2010,KP35,2S6Q6K682AA,5435-970-0001,241.65,8B35200026,2S6Q6K682AA,54359700001,1.4,50
8B35-200-026,CITROEN,C3 HDi,1.4L D,70HP,DV4TD,2002-2010,KP35,0375G9,5435-970-0009,241.65,8B35200026,0375G9,54359700009,1.4,70
8B35-200-026,FORD,Fiesta TDCi,1.4L D,50HP,DV4 TD,2002-,KP35,2S6Q6K682AD,5435-970-0009,241.65,8B35200026,2S6Q6K682AD,54359700009,1.4,50
8B35-200-026,FORD,Fusion TDCi,1.4LD,50HP,DV4TD,2002-,KP35,2S6Q6K682AA,5435-970-0007,241.65,8B35200026,2S6Q6K682AA,54359700007,1.4,50
8B35-200-026,MAZDA,Mazda 2 1.4 MZ,1.4L D,50HP,DV4 TD 8HX,2003-2009,KP35,9648759980,5435-970-0009,241.65,8B35200026,9648759980,54359700009,1.4,50
8B35-200-026,PEUGEOT,206 SW HDi,1.4L D,68HP,DV4TD 8HX/8HZ,2002-2006,KP35,9648759980,5435-988-0009,241.65,8B35200026,9648759980,54359880009,1.4,68
