,jrone_no,marka,model,ccm,snaga,motor,god,model_turbine,oe_1,oe_2,query_jrone_no,query_oe1,query_oe2,ccm_numbers,snaga_numbers
0,8G15-200-043,RENAULT,Laguna dCi,1.9L D,110HP,F9Q718,2000-,GT1549S,7700108052,703245-0001,8G15200043,7700108052,7032450001,1.9,110
7,8G15-200-043,RENAULT,Laguna,1.9L D,102HP,F9Q,2001-,GT1549S,8200091350A,717345-0002,8G15200043,8200091350A,7173450002,1.9,102
14,8G15-200-043,RENAULT,Laguna  dCi,1.9L D,102HP,F9Q-732/733/740/751,2001-,K03,8200084399,5303-970-0048,8G15200043,8200084399,53039700048,1.9,102
21,8G15-200-043,RENAULT,Megan,1.9L D,102HP,F9Q DG4A,2001-,GT1549S,8200683854,717345-5001S,8G15200043,8200683854,7173455001S,1.9,102
28,8G15-200-043,RENAULT,Trafic,1.9L D,102HP,F9Q DG4A,2001-,GT1549S,8200348244,751768-5005S,8G15200043,8200348244,7517685005S,1.9,102
35,8G15-200-043,RENAULT,Primastar,1.9L D,102HP,F9Q DG4A,2001-,GT1549S,8200544911,703245-0002,8G15200043,8200544911,7032450002,1.9,102
42,8G15-200-043,RENAULT,Scenic,1.9L D,102HP,F9Q DG4A,2001-,GT1549S,8200458162,751768-0005,8G15200043,8200458162,7517680005,1.9,102
49,8G15-200-043,VAUXHALL,Vivaro,1.9L D,102HP,F9Q718,2000-,GT1549S,7700108052,751768-0004,8G15200043,7700108052,7517680004,1.9,102
56,8T10-200-691,TOYOTA,Hiace,2.5L D,102 HP,2KD-FTV,2001-,CT10,17201-30030,17201-30030,8T10200691,1720130030,1720130030,2.5,102
58,8T10-200-691,TOYOTA,Hilux,2.5L D,102 HP,2KD-FTV,2001-,CT10,17201-30031,CT10,8T10200691,1720130031,CT10,2.5,102
